log2FC	FDR
-0.616560239	3.8052537
-0.517069586	4.221083816
0.537265759	0.982328694
0.440572591	-2.616214972
0.710493383	-2.82917788
0.745101809	2.33232106
1.09283108	5.149299949
0.040606235	4.50701749
0.74723393	-0.462884303
-1.264061601	0.85853933
-0.861720625	0.326162934
-4.906890596	-7.512338987
-1.99138687	0.744154668
0.078513314	5.610933467
-0.310960066	4.98938211
-0.40476624	6.51145014
1.513261035	0.894134041
-1.058893689	-2.529446845
0.247624967	1.451499847
6.491853096	-6.719857736
0.235819454	4.252952013
0.195141287	4.086709651
-4.970194677	2.181091151
-0.485426827	-4.079214681
-0.652076697	1.074499581
-1.438884241	0.567439027
1.584962501	-1.763912098
-0.962847002	-0.27978964
-1.211504105	-1.790176624
0	-4.64385619
0.362570079	-3.655216228
-0.871266686	0.149329158
-0.040641984	-1.494252181
-1.070389328	-0.464805336
-0.139162748	-0.270494068
-1.418501355	-0.234165794
0.115477217	-1.00115508
-6.321928095	-6.804820237
-0.559709709	2.147751318
-3.502500341	-2.307643519
-1.399095955	0.563486428
1.836501268	-2.918250634
4.321928095	-7.804820237
0.725825037	-0.580503953
7.781359714	-6.075104428
0.087462841	-2.600124769
4.321928095	-7.804820237
-0.91753784	-3.015162268
0.318822184	0.054713713
-0.297229326	1.586907514
-2.74723393	-2.462884303
1	-3.821928095
-0.678071905	-1.17553722
-0.678071905	0.82446278
0.152003093	-0.397929642
0	-4.64385619
1	-5.14385619
-0.273018494	0.077615558
-6.129283017	-6.901142776
-6.129283017	-6.901142776
-0.255526869	1.658832927
-1.253472793	1.340432211
-1.304006187	1.347996907
-0.584962501	-5.351374939
-7.22881869	-6.351374939
0.214366281	1.149827478
-0.432959407	-0.105448391
0	-5.64385619
-1.716207034	-1.39343525
-1.956056652	-0.021971674
-1.721698838	0.049883243
-1.257157839	0.342274735
-1.050626073	0.010739864
-0.122936106	1.95288724
-5.321928095	-7.304820237
-2.078002512	-2.434929932
-0.237896159	5.414303772
-0.321977748	6.021703424
-0.306550639	5.946651031
0.035601931	4.018702368
-0.301169535	1.899046
1.263034406	-2.690410892
-1.207112729	3.949804139
-0.188445089	-1.12336889
-1.166649869	4.013610208
-0.516790998	-0.363092878
-0.745427173	-0.183679762
-0.625397365	3.001997843
-0.330443964	3.12313658
0.549338591	2.447796729
0.388355457	1.127750367
0.419806743	0.804451921
0.298073621	4.785951391
-1.484199524	0.490560995
-0.030412456	3.968471467
-0.024946357	4.116809838
-0.185024181	4.206879116
-0.08455711	3.940486908
-0.04193783	3.414659679
-0.08655782	3.272866833
-0.065264604	4.6037023
0.96644744	0.282311026
-0.655457354	3.767351815
-0.635704209	4.744787724
0.140973628	1.665035363
-0.991528484	2.590000312
-6.491853096	-6.719857736
-2.548267701	3.40506472
-0.983620841	6.382986545
0.039191463	4.230607925
-0.398465198	2.762390729
0.093746496	1.547675301
-5.64385619	-7.14385619
-6.129283017	-6.901142776
1.916168409	-0.731575675
0.662965013	-2.727411183
6.64385619	-6.64385619
6.906890596	-6.512338987
5.64385619	-7.14385619
1.963474124	-2.340191033
-0.459431619	-3.41414038
0.087697904	5.895847789
0.121990524	4.504601914
-1.042709859	5.317848859
-0.221695088	9.259578323
-1.055975092	6.50389282
4.321928095	-7.804820237
-8.321928095	-5.804820237
0.929188712	8.47201414
2.045188774	0.160097911
5.64385619	-7.14385619
1	-3.558893689
2.115477217	-4.00115508
0.399345362	4.27606075
0.311314421	2.089229849
1.034885518	2.618420407
2.459431619	-4.41414038
-0.155354303	2.030010718
