GeneNames	log2FC	qvalue
csde012487.1	0.815116175	0.999993071
csde027366.1	2.749696728	0.999993071
csde005818.1	0.3423745	0.999993071
csde009766.1	-0.363484187	0.999993071
csde026972.1	-0.449688492	0.999993071
csde000313.1	0.837812105	0.999993071
csde019847.1	-0.15627089	0.999993071
csde013274.1	-0.290402924	0.999993071
csde026730.1	1.202317174	0.999993071
csde028683.1	0.091989607	0.999993071
csde020931.1	-0.497127109	0.999993071
csde022051.1	-0.236050528	0.999993071
csde007428.1	-0.225039889	0.999993071
csde006429.1	0.171017347	0.999993071
csde024290.1	2.280471418	0.999993071
csde016065.1	0.176664861	0.999993071
csde016904.1	-1.737305686	0.999993071
csde018813.1	0.490855194	0.999993071
csde001060.1	0.176322032	0.999993071
csde009388.1	-0.1451966	0.999993071
csde021415.1	-0.27877459	0.999993071
csde012507.1	0.168175932	0.999993071
csde002321.1	0.153176207	0.999993071
csde007838.1	0.431953525	0.999993071
csde011412.1	-0.075325169	0.999993071
csde013497.1	0.485966373	0.999993071
csde031976.1	-0.276367511	0.999993071
csde011085.1	0.359970763	0.999993071
csde015853.1	-0.439061825	0.999993071
csde015544.1	0.464758757	0.999993071
csde006595.1	-0.133964924	0.999993071
csde008203.1	0.62155925	0.999993071
csde017125.1	-0.1291433	0.999993071
csde004838.1	1.176709994	0.999993071
csde028965.1	-0.399921671	0.999993071
csde019974.1	-0.821821598	0.999993071
csde022482.1	-0.13386998	0.999993071
csde022764.1	1.023273441	0.999993071
csde013775.1	0.237378392	0.999993071
csde032726.1	-1.239849316	0.999993071
csde029103.1	-2.600536787	0.999993071
csde030885.1	0.305863141	0.999993071
csde017658.1	-0.36855498	0.999993071
csde012811.1	0.523930534	0.999993071
csde004540.1	0.178527019	0.999993071
csde008116.1	0.460795792	0.999993071
csde012896.1	1.13400546	0.999993071
csde017248.1	0.469285227	0.999993071
csde022362.1	-0.234741659	0.999993071
csde012904.1	0.096581368	0.999993071
csde022543.1	-0.30084021	0.999993071
csde020029.1	0.461651685	0.999993071
csde021007.1	0.419779109	0.999993071
csde000886.1	-0.239613799	0.999993071
csde020451.1	-0.611303647	0.999993071
csde008509.1	0.139969286	0.999993071
